1483246740,968.11, BTC
1483246680,968.05, BTC
1483246620,967.68, BTC
1483246560,968.00, BTC
1483246500,967.84, BTC
1483246440,968.00, BTC
1483246380,967.88, BTC
1483246320,967.87, BTC
1483246260,967.66, BTC
1483246200,967.78, BTC
1483246140,967.77, BTC
1483246080,967.70, BTC
1483246020,967.55, BTC
1483245960,967.71, BTC
1483245900,967.54, BTC
1483245780,967.16, BTC
1483245720,966.87, BTC
1483245660,967.23, BTC
1483245600,966.99, BTC
1483245540,966.86, BTC
1483245480,967.52, BTC
1483245420,967.69, BTC
1483245360,967.21, BTC
1483245300,967.37, BTC
1483245240,967.39, BTC
1483245180,967.58, BTC
1483245120,967.19, BTC
1483245060,967.13, BTC
1483245000,967.49, BTC
1483244940,967.73, BTC
1483244880,967.38, BTC
1483244820,967.48, BTC
1483244760,967.65, BTC
1483244700,968.01, BTC
1483244640,968.01, BTC
1483244580,968.11, BTC
1483244520,968.00, BTC
1483244460,968.00, BTC
1483244400,968.00, BTC
1483244340,968.12, BTC
1483244280,968.12, BTC
1483244220,968.12, BTC
1483244160,968.11, BTC
1483244100,967.87, BTC
1483244040,967.99, BTC
1483243980,968.05, BTC
1483243920,967.95, BTC
1483243860,967.96, BTC
1483243800,968.05, BTC
1483243740,968.11, BTC
1483243680,968.05, BTC
1483243620,968.00, BTC
1483243560,968.11, BTC
1483243500,967.61, BTC
1483243440,968.26, BTC
1483243380,968.27, BTC
1483243320,968.51, BTC
1483243260,968.52, BTC
1483243200,968.25, BTC
1483243140,968.11, BTC
1483243080,967.95, BTC
1483243020,968.13, BTC
1483242960,968.20, BTC
1483242900,968.03, BTC
1483242840,967.99, BTC
1483242780,968.22, BTC
1483242720,968.50, BTC
1483242660,968.06, BTC
1483242600,968.52, BTC
1483242540,968.61, BTC
1483242480,968.37, BTC
1483242420,968.44, BTC
1483242360,968.54, BTC
1483242300,968.03, BTC
1483242240,968.44, BTC
1483242180,968.28, BTC
1483242120,968.09, BTC
1483242060,968.21, BTC
1483242000,968.16, BTC
1483241940,968.24, BTC
